trait	Rate1	Rate2	LogL	Lik.Root	First.Evol	Med.Evol	N.evol	N.origins	Origins	Dates.Origins
K02700	-2.71961893901087e-06	-0.000909310819322622	-28.1002249981694	0.999230044162616	938.933978	3173.1359315	38	3	2474, 4401, 4438	938.933978, 2430.955609, 2413.732728
K04049	-7.07782068615318e-05	-0.0185305956920409	-46.8838297734182	0.999	1416.658921	3823.203507	268	3	2475, 4398, 4400	1416.658921, 3845.416488, 2223.35251
K02707	-2.23134384855435e-06	-9.70728870272059e-05	-12.2063226714775	0.999982867339831	2139.124812	2139.124812	1	1	4123	2139.124812
K02704	-2.23134384855435e-06	-9.70728870272059e-05	-12.2063226714775	0.999982867339831	3176.304547	3176.304547	1	1	4327	3176.304547
K02705	-2.23134384855435e-06	-9.70728870272059e-05	-12.2063226714775	0.999982867339831	3117.761343	3147.032945	2	2	3769, 4327	3117.761343, 3176.304547
K10020	-1.74343968409001e-05	-0.00226256101700666	-78.0188137401934	0.99898781360675	938.933978	3480.1398945	88	2	2474, 4399	938.933978, 1903.089273
K10021	-2.94338031241486e-05	-0.00419222578073887	-77.8164965458852	0.999000000304374	1416.658921	3648.299236	167	2	2475, 4399	1416.658921, 1903.089273
K10022	-1.4848346239131e-05	-0.00321595579153698	-36.2790696101904	0.999000141421886	1416.658921	3606.4910205	132	3	2475, 4401, 4438	1416.658921, 2430.955609, 2413.732728
K10023	-1.91215029827661e-05	-0.00315348394544201	-44.1745156360141	0.999000382029807	938.933978	3534.7791725	144	2	2474, 4400	938.933978, 2223.35251
K10024	-1.1656808325118e-05	-0.00478380608647979	-28.459213254874	0.999000000077498	2030.180169	3683.7207885	170	7	2479, 4123, 4380, 4388, 4396, 4401, 4437	2030.180169, 2139.124812, 3194.258338, 3052.373083, 3766.730888, 2430.955609, 2346.177378
K10025	-1.57943206856911e-05	-0.00430895301965553	-35.9054944568608	0.998999992407505	938.933978	3590.8476345	154	2	2474, 4400	938.933978, 2223.35251
K10026	-0.000188074456603635	-0.000543224306182639	-408.081180672221	0.999294149850846	938.933978	3575.453514	65	2	2474, 4400	938.933978, 2223.35251
K10027	-0.000156570412435185	-0.000993627127945578	-343.320313473712	0.998523241604935	938.933978	3578.359311	68	2	2474, 4400	938.933978, 2223.35251
K13611	-1.15065675690746e-05	-0.0144358048307553	-26.3167440480439	0.999	938.933978	3787.214861	246	4	2474, 4402, 4433, 4438	938.933978, 3052.889894, 2777.979482, 2413.732728
K05794	-0.000233262070746886	-0.000985731437416334	-479.754782630184	0.998643729092712	1416.658921	3684.901852	83	3	2475, 4401, 4438	1416.658921, 2430.955609, 2413.732728
K05795	-0.000225200816310086	-0.00247617325112277	-337.926607209998	0.998997113598089	1416.658921	3671.636319	135	2	2475, 4400	1416.658921, 2223.35251
K05796	-7.0698804175984e-05	-0.00188281208291487	-156.230315341588	0.998965259647486	938.933978	3426.187621	82	6	2474, 4401, 4454, 4472, 4473, 4499	938.933978, 2430.955609, 3036.818164, 3834.46326, 2779.358775, 3028.559449
K05797	-4.79287747942197e-05	-0.00347549250657784	-74.8987184887521	0.998999763625692	1809.157363	3641.869502	149	5	2476, 4391, 4396, 4401, 4437	1809.157363, 3942.090056, 3766.730888, 2430.955609, 2346.177378
